#,ƒvƒƒWƒFƒNƒg,ƒgƒ‰ƒbƒJ[,eƒ`ƒPƒbƒg,ƒXƒe[ƒ^ƒX,—Dæ“x,‘è–¼,ì¬Ò,’S“–Ò,XV“ú,ƒJƒeƒSƒŠ,‘ÎÛƒo[ƒWƒ‡ƒ“,ŠJn“ú,Šú“ú,—\’èH”,i’»—¦,ì¬“ú,I—¹“ú,ŠÖ˜A‚·‚éƒ`ƒPƒbƒg,Resolution,Affected version,à–¾
25604,Redmine,Defect,"",New,Normal,Redmine does not appear to strip leading spaces from new issues,Library Systems Dept,"",2017-04-13 16:10,Issues,"","","","",0,2017-04-13 16:10,"",ŠÖ˜A‚µ‚Ä‚¢‚é #9588,"","","h4. Overview

We have a group that manually creates new issues for us. Occasionally they don't pay close attention and will create new issues that contain a leading space in the Subject field. This doesn't affect basic functionality, but when attempting to sort on the Subject field we get back unexpected results. We finally figured out that the issue is caused by the leading space in the Subject line.

Does Redmine intentionally provide support for creating issues with leading spaces or is this a case where it fails to strip leading/trailing spaces from that field when creating new issues? I assume the latter and am filing this report accordingly.

Thank you for your time.

h4. Redmine instance details

@bin/about@
<pre>
sh: 1: darcs: not found
sh: 1: hg: not found
sh: 1: cvs: not found
sh: 1: bzr: not found
sh: 1: git: not found
Environment:
  Redmine version                3.3.3.stable.16539
  Ruby version                   2.3.1-p112 (2016-04-26) [x86_64-linux-gnu]
  Rails version                  4.2.7.1
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.9.3
  Filesystem
Redmine plugins:
  no plugin installed
</pre>

Internal ref: !#52875"
25596,Redmine,Defect,"",Closed,Normal,"when creating a new issue, custom fields for trackers don't update on tracker change",Brad Barnett,"",2017-05-12 08:40,Issues,"","","","",0,2017-04-12 23:48,2017-05-12 08:40,"",Invalid,2.5.2,"I googled, and searched -- but could not find this issue in the tracker.  Apologies if this is a dup.

I have 4 trackers.  Each have differing custom fields.  Some are required.

When I click on new issue, if a tracker is 'A', and I switch to 'B', the custom fields for 'A' still show.

Only if I click 'submit', and receive an error (because a custom field isn't filled out), will I then be presented with the correct 'new issue' page for that particular tracker.

Debian Jessie.

/usr/share/redmine$ ruby bin/about

sh: 1: darcs: not found
sh: 1: hg: not found
sh: 1: cvs: not found
sh: 1: bzr: not found
sh: 1: git: not found
Environment:
  Redmine version                2.5.2.devel
  Ruby version                   2.1.5-p273 (2014-11-13) [x86_64-linux-gnu]
  Rails version                  4.1.8
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.8.10
  Filesystem
Redmine plugins:
  redmine_pretend                0.0.2+git20130821
"
25595,Redmine,Defect,"",New,High,Important usability bug - Too easy to delete issues,Fred B,"",2017-05-19 07:25,Issues,"","","","",0,2017-04-12 22:14,"","","","","*Please do not delete it or mark it as duplicate!*

I know this has been discussed in other random issues here over the years. But it has been asked in different ways, with different solution proposal, and in seperated issue for the same problem. 


___

Here's the problem

*It should not be possible to delete issue without:*

* Having that tracked in activity tab
* Being able to uncover (undelete) the issue later 


___

I think this is a really big issue for a mature product like redmine. I hope this post will help to flag this issue as a big priority for the nexte release and bug fixing.

Sincerely 
Fred
"
25594,Redmine,Defect,"",Closed,Normal,Format mismatch between Textile and CKeditor text formatting,Hamdi JMII,"",2017-04-12 12:37,"","","","","",0,2017-04-12 11:53,2017-04-12 12:37,"",Invalid,2.5.3,I installed CKeditor wiki plugin but I saw that my old wikis were bad formatted since their were formatted with Textile text formatting. It's normal to see this mismatch ?
25593,Redmine,Defect,"",Closed,Normal,"cron failed ""Repository.fetch_changesets""",Kirill Kolchanov,"",2017-04-12 12:25,"","","","","",0,2017-04-12 10:37,2017-04-12 12:25,"",Invalid,3.3.2,"I added ""recheck svn"" to cron for root and recieved error, if run script to manual is it worked.

cron root:
<pre>
#!/bin/bash
LOCALDIR=/var/www/redmine/www
PATH=/usr/bin:/bin:/usr/local/bin:/usr/local/sbin:/usr/sbin

export PATH LOCALDIR SHELL
cd $LOCALDIR && rails runner ""Repository.fetch_changesets"" -e production
</pre>

/var/mail/root:
<pre>
/usr/local/bin/rails:22:in `<main>': undefined method `activate_bin_path' for Gem:Module (NoMethodError)
</pre>

same, I tryed change variable SHELL=/bin/bash to /bin/sh and without succesfull.

info:
<pre>
[root@redmine ~]# ruby -v
ruby 2.3.3p222 (2016-11-21 revision 56859) [x86_64-linux]
[root@redmine ~]# rails -v
Rails 5.0.2
</pre>

Maybe, its problems because owner $LOCALDIR as user apache?"
25590,Redmine,Patch,"",Closed,High,prevent deadlocks in attachment deduplication,Jens Kr?mer,Jean-Philippe Lang,2017-04-13 14:10,Attachments,"","","","",0,2017-04-12 03:53,2017-04-13 14:10,ƒuƒƒbƒN‚µ‚Ä‚¢‚é #25215,"","","At Planio we encountered occasional deadlocks caused by the inner lock statement on the query selecting a potentially already existing identical attachment. Running the query without @lock@ first and locking the found record second solved the problem for us.

To account for the possible failure of the inner lock (i.e. when @existing@ was found but cannot be locked) this patch also adds a @rescue@ clause that silently ignores such errors. Deduplication did not happen in this case either because the duplicate was removed (then a retry would be useless) or the database aborted the transaction (deadlock or waited too long for the lock, a retry might work but I'm not sure it's worth it). "
25583,Redmine,Defect,"",Closed,Normal,EVM Plugin Issue,vignesh moorthy,"",2017-04-11 17:40,"","","","","",0,2017-04-11 13:49,2017-04-11 17:40,"",Invalid,2.4.2,"Processing by BaselinesController#index as HTML
  Parameters: {""project_id""=>""pcb""}
  Current user: keshav (id=15)
Redirected to http://192.168.0.208:8090/redmine/baselines/15
Completed 302 Found in 13.3ms (ActiveRecord: 1.3ms)
Started GET ""/redmine/baselines/15"" for 192.168.0.116 at 2017-04-11 17:16:05 +0530
Processing by BaselinesController#show as HTML
  Parameters: {""id""=>""15""}
  Current user: keshav (id=15)
DEPRECATION WARNING: Passing the format in the template name is deprecated. Please pass render with :formats => [:js] instead. (called from _plugins_redmine_evm_app_views_baselines_show_html_erb__3099829965297914905_61604880 at /usr/share/redmine/plugins/redmine_evm/app/views/baselines/show.html.erb:14)
  Rendered plugins/redmine_evm/app/views/baselines/_init_translations.js.erb (27.3ms)
  Rendered plugins/redmine_evm/app/views/baselines/show.html.erb within layouts/base (43.2ms)
Completed 500 Internal Server Error in 56.0ms

ActionView::Template::Error (comparison of String with Date failed):
    157:     <%= render(:partial => '/baselines/chart_js',
    158:                :locals => { maximum_chart_date: @project.maximum_chart_date(@baseline),
    159:                             project_chart_data: @project.data_for_chart(@baseline, @forecast_is_enabled) }) %>
    160:   </div>
    161:   <!-- Versions Charts -->
    162:   <div id=""evm-versions-charts"">
    163:     <% @project.versions.each do |version| %>
  plugins/redmine_evm/lib/redmine_evm/patches/project_patch.rb:129:in `each'
  plugins/redmine_evm/lib/redmine_evm/patches/project_patch.rb:129:in `max'
  plugins/redmine_evm/lib/redmine_evm/patches/project_patch.rb:129:in `maximum_chart_date'
  plugins/redmine_evm/app/views/baselines/show.html.erb:160:in `_plugins_redmine_evm_app_views_baselines_show_html_erb__3099829965297914905_61604880'
"
25579,Redmine,Defect,"",Closed,Normal,EVM Plugin Issue,vignesh moorthy,"",2017-04-11 17:39,"","","","","",0,2017-04-11 13:06,2017-04-11 17:39,"",Invalid,2.4.2,"DEPRECATION WARNING: Passing the format in the template name is deprecated. Please pass render with :formats => [:js] instead. (called from _plugins_redmine_evm_app_views_baselines_show_html_erb__3099829965297914905_61604880 at /usr/share/redmine/plugins/redmine_evm/app/views/baselines/show.html.erb:14)
  Rendered plugins/redmine_evm/app/views/baselines/_init_translations.js.erb (77.5ms)
  Rendered plugins/redmine_evm/app/views/baselines/show.html.erb within layouts/base (97.7ms)
Completed 500 Internal Server Error in 105.8ms

ActionView::Template::Error (comparison of String with Date failed):
    157:     <%= render(:partial => '/baselines/chart_js',
    158:                :locals => { maximum_chart_date: @project.maximum_chart_date(@baseline),
    159:                             project_chart_data: @project.data_for_chart(@baseline, @forecast_is_enabled) }) %>
    160:   </div>
    161:   <!-- Versions Charts -->
    162:   <div id=""evm-versions-charts"">
    163:     <% @project.versions.each do |version| %>
  plugins/redmine_evm/lib/redmine_evm/patches/project_patch.rb:129:in `each'
  plugins/redmine_evm/lib/redmine_evm/patches/project_patch.rb:129:in `max'
  plugins/redmine_evm/lib/redmine_evm/patches/project_patch.rb:129:in `maximum_chart_date'
  plugins/redmine_evm/app/views/baselines/show.html.erb:160:in `_plugins_redmine_evm_app_views_baselines_show_html_erb__3099829965297914905_61604880'
"
25577,Redmine,Defect,"",Closed,Low,Fixing wrong hyphenization on FAQ-Page for RequestHeader,Simon O,"",2017-04-11 18:44,Documentation,"","","","",0,2017-04-11 12:13,2017-04-11 18:44,ŠÖ˜A‚µ‚Ä‚¢‚é #24880,"","","Hi, 
just want to point you to this issue: [[https://github.com/docker-library/redmine/issues/60]]
The FAQ ([[http://www.redmine.org/projects/redmine/wiki/FAQ#Why-does-Redmine-use-http-links-when-I-want-it-to-use-https-links-in-Apache-SSL]]) says to use the following header in the apache config to tell the app to redirect to https urls:
RequestHeader set X_FORWARDED_PROTO 'https'
This is wrong, it must be
RequestHeader set X-Forwarded-Proto ""https""
The hyphenization has to be set correctly.
Thanks
"
25573,Redmine,Patch,"",Closed,Normal,Bulgarian translation,Ivan Cenov,"",2017-04-13 07:19,Translations,"","","","",0,2017-04-11 09:42,2017-04-13 07:19,"","","","Translated
* field_default_assigned_to
* setting_show_custom_fields_on_registration"
