#,ÉvÉçÉWÉFÉNÉg,ÉgÉâÉbÉJÅ[,êeÉ`ÉPÉbÉg,ÉXÉeÅ[É^ÉX,óDêÊìx,ëËñº,çÏê¨é“,íSìñé“,çXêVì˙,ÉJÉeÉSÉä,ëŒè€ÉoÅ[ÉWÉáÉì,äJénì˙,ä˙ì˙,ó\íËçHêî,êiíªó¶,çÏê¨ì˙,èIóπì˙,ä÷òAÇ∑ÇÈÉ`ÉPÉbÉg,Resolution,Affected version,ê‡ñæ
14753,Redmine,Defect,"",New,Normal,Remember issue filter for each project,Tyler P,"",2013-08-22 22:24,"","","","","",0,2013-08-22 22:24,"",ä÷òAÇµÇƒÇ¢ÇÈ #7360,"","","

When I switch projects, redmine forgets my issue filters for the last project. It would be great if it remembered the filter for each project. Maybe by creating a different cookie for each project?

Reproduce:
1. Apply a filter to the issues in a project.
2. Open a new tab in the browser and apply a filter in a different project.
3. Click the issues redmine tab in the first project.

Expected:
The filter is still there.

Actual:
The filter returns to the default, and must be selected again.

Notes:
Creating custom queries is a possible workaround, but still requires an extra page load because redmine loads the default filter, then, after you click the link to the custom query, loads again.
"
14752,Redmine,Defect,"",Closed,Normal,h5 confuses wiki editor,Tyler P,"",2016-05-11 10:40,Text formatting,"","","","",0,2013-08-22 21:11,2016-05-11 10:40,éüÇÃÉ`ÉPÉbÉgÇ∆èdï° #11789,Invalid,"","This is a bug in Redmine that should probably be passed along to the open source developers or might be fixed by updating our Redmine to a newer version, if there is one.

Reproduce:
1. Put an h5 in a wiki page, e.g.<pre>h2. hi what's new

blah blah

h5. I'm 5 years old

blah

h3. Hi

lorem ipsum</pre>and save.
2. Click the pencil next to the h3 to edit that section.

Expected:
The editor should disply<pre>h3. Hi

lorem ipsum</pre>Actual:
The editor displays the h5 section.

Notes:
Probably because the h5 is not dynamically assigned a pencil button like the other headers are.

Probably applies to h6 and h7 (if there is an h7) as well."
14750,Redmine,Defect,"",Closed,Urgent,Move single project,Pravin Patil,"",2013-08-22 15:07,Projects,"","","","",0,2013-08-22 13:48,2013-08-22 15:07,"",Invalid,2.3.2,How can I move a single project to new redmine server?
14749,Redmine,Defect,"",Closed,Normal,how to uplod the image,12 auqf,"",2013-08-22 15:06,"","","","","",0,2013-08-22 11:11,2013-08-22 15:05,"",Invalid,"","hi,
  i don't know how to use  the insert image functions, 
  in the help manaule, i see two ways ,but i can not understand the !image_url!,can you give me an example?thanks.
"
14748,Redmine,Defect,"",Closed,Normal,can't upload image ,12 auqf,"",2013-08-23 07:02,Accounts / authentication,"","","","",0,2013-08-22 11:06,2013-08-22 15:04,"",Invalid,"","hi,
  My environment is centos6.3 x64, apache2, redmine 2.3.2.
  I can not upload file or images. 
if it need other settings?"
14740,Redmine,Patch,"",New,Normal,display decimals hours only if fractional,J?r?me BATAILLE,"",2014-12-04 14:23,Time tracking,"","","","",0,2013-08-21 17:28,"","","","","4 hours could be displayed *4 hours*
4.5 hours will still be displayed *4.50 hours*"
14739,Redmine,Defect,"",New,Normal,undefined method `name' for nil:NilClass with IMAP email fetch,Dominic Collins,"",2013-08-21 17:03,Email receiving,"","","","",0,2013-08-21 17:03,"","","",2.3.2,"Hi,

We are migrating from a hosted Redmine 2.1.0 installation to an in house 2.3.2 installation.  Both are running on Ubuntu Jumpboxes.

The origianl Redmine wasn't using the Email Receiving feature, but we are trying to implement it in the new in house install.

I've configured IMAP as per http://www.redmine.org/projects/redmine/wiki/RedmineReceivingEmails but when running the following command:

bundle exec rake --trace redmine:email:receive_imap RAILS_ENV=""production"" <ourSMTPserver> port=993 username=<ourUsername> password=<OurPassword>

I get the following:

** Invoke redmine:email:receive_imap (first_time)
** Invoke environment (first_time)
** Execute environment
** Execute redmine:email:receive_imap
rake aborted!
undefined method `name' for nil:NilClass
/usr/lib/ruby/1.8/net/imap.rb:918:in `initialize'
/var/data/redmine/lib/redmine/imap.rb:29:in `new'
/var/data/redmine/lib/redmine/imap.rb:29:in `check'
/var/data/redmine/lib/tasks/email.rake:141
/var/data/redmine/vendor/bundle/ruby/1.8/gems/rake-10.0.4/lib/rake/task.rb:246:in `call'
/var/data/redmine/vendor/bundle/ruby/1.8/gems/rake-10.0.4/lib/rake/task.rb:246:in `execute'
/var/data/redmine/vendor/bundle/ruby/1.8/gems/rake-10.0.4/lib/rake/task.rb:241:in `each'
/var/data/redmine/vendor/bundle/ruby/1.8/gems/rake-10.0.4/lib/rake/task.rb:241:in `execute'
/var/data/redmine/vendor/bundle/ruby/1.8/gems/rake-10.0.4/lib/rake/task.rb:184:in `invoke_with_call_chain'
/usr/lib/ruby/1.8/monitor.rb:242:in `synchronize'
/var/data/redmine/vendor/bundle/ruby/1.8/gems/rake-10.0.4/lib/rake/task.rb:177:in `invoke_with_call_chain'
/var/data/redmine/vendor/bundle/ruby/1.8/gems/rake-10.0.4/lib/rake/task.rb:170:in `invoke'
/var/data/redmine/vendor/bundle/ruby/1.8/gems/rake-10.0.4/lib/rake/application.rb:143:in `invoke_task'
/var/data/redmine/vendor/bundle/ruby/1.8/gems/rake-10.0.4/lib/rake/application.rb:101:in `top_level'
/var/data/redmine/vendor/bundle/ruby/1.8/gems/rake-10.0.4/lib/rake/application.rb:101:in `each'
/var/data/redmine/vendor/bundle/ruby/1.8/gems/rake-10.0.4/lib/rake/application.rb:101:in `top_level'
/var/data/redmine/vendor/bundle/ruby/1.8/gems/rake-10.0.4/lib/rake/application.rb:110:in `run_with_threads'
/var/data/redmine/vendor/bundle/ruby/1.8/gems/rake-10.0.4/lib/rake/application.rb:95:in `top_level'
/var/data/redmine/vendor/bundle/ruby/1.8/gems/rake-10.0.4/lib/rake/application.rb:73:in `run'
/var/data/redmine/vendor/bundle/ruby/1.8/gems/rake-10.0.4/lib/rake/application.rb:160:in `standard_exception_handling'
/var/data/redmine/vendor/bundle/ruby/1.8/gems/rake-10.0.4/lib/rake/application.rb:70:in `run'
/var/data/redmine/vendor/bundle/ruby/1.8/gems/rake-10.0.4/bin/rake:33
/usr/bin/rake:19:in `load'
/usr/bin/rake:19
Tasks: TOP => redmine:email:receive_imap

I've figured my way through a few issues so far from research, but can't find an answer to this problem.  I'm still new to this so go easy!

Environment is:

Environment:
  Redmine version                2.3.2.stable
  Ruby version                   1.8.7-p249 (2010-01-10) [i486-linux]
  Rails version                  3.2.13
  Environment                    production
  Database adapter               MySQL
Redmine plugins:
  clipboard_image_paste          1.7
  redmine_silencer               0.2.0

Any help would be much appreciated.

Thanks
"
14737,Redmine,Defect,"",Closed,Normal,"Gantt, completed % truncated instead of rounded",J?r?me BATAILLE,"",2014-05-16 13:17,Gantt,2.6.0,"","","",0,2013-08-21 16:17,2014-05-16 12:38,éüÇÃÉ`ÉPÉbÉgÇ™èdï° #13442,Fixed,"",""
14735,Redmine,Patch,"",New,Normal,Allow negative time entries,J?r?me BATAILLE,"",2015-03-10 15:09,Time tracking,"","","","",0,2013-08-21 14:23,"","","","",""
14724,Redmine,Defect,"",New,Normal,Documentation is ambiguous for redmine API for POST request to create issues,muhammad irfan,"",2013-08-21 14:17,REST API,"","","","",0,2013-08-20 14:28,"","","","","Like GET request to get all the issues from redmine through API(which is working) but when you use POST request to create issues in redmine, there are some necessary fields to create issues in redmine that is not listed in redmine API documentation, also, there are some defects in creating redmine issues using POST request, like csrf authenticity token etc.
"
14721,Redmine,Defect,"",Closed,Normal,Associated revisions - can't view,Andrzej Zawadzki,"",2013-08-20 11:31,Projects,"","","","",0,2013-08-20 11:02,2013-08-20 11:19,"",Invalid,2.3.2,"When developer has access to subproject and doesn't have access to main project, he can't see ""Associated revisions"" in issues related to subproject.
When rights to project are granted ""Associated revision"" are viewable.
But I don't want give rights to main project.
"
