#,プロジェクト,トラッカー,親チケット,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,進捗率,作成日,終了日,関連するチケット,Resolution,Affected version,説明
13829,Redmine,Defect,"",Closed,Normal,Favicon bug in IE8,Filou Centrinov,"",2013-04-22 08:18,UI,2.4.0,"","","",0,2013-04-21 18:16,2013-04-22 08:18,関連している #13687,Fixed,"","The favicon is not display very well with IE8. This bug existed also before the fix of #13687. IE6 is not affeced. Other IE versions I couldn't check.

I fixed this problem by saving icon with ""VariIcon Revolve"".

IE8 now:
!IE8_before.png!

IE8 with updated favicon:
!IE8_after.png!

Updated favicon was also tested in Firefox, Safari and Opera.
"
13826,Redmine,Patch,"",Closed,Normal,application.js: randomKey function optimization,Filou Centrinov,"",2013-04-22 10:11,Code cleanup/refactoring,"","","","",0,2013-04-21 03:47,2013-04-22 10:11,関連している #1110,"","","Optimization:
* local iteration variable i
* string instead long array of characters"
13825,Redmine,Patch,"",Closed,Normal,German translation: jquery.ui.datepicker-de.js,Filou Centrinov,"",2013-04-21 05:52,Translations,2.4.0,"","","",0,2013-04-21 03:39,2013-04-21 05:52,"","","","Capital letter and no ""&#x3c;"" or ""&#x3e;"""
13823,Redmine,Defect,"",Closed,Normal,Trailing comma in javascript files,Filou Centrinov,"",2013-04-21 14:42,"",2.3.1,"","","",0,2013-04-20 18:49,2013-04-21 14:42,"",Fixed,2.3.0,"Trailing comma in javascript files:

source:trunk/public/javascripts/gantt.js#L96
source:trunk/public/javascripts/revision_graph.js#L46

"
13821,Redmine,Defect,"",Closed,Normal,"""obj"" parameter is not defined for macros used in description of documents ",Pierre-Louis Bonicoli,Jean-Philippe Lang,2013-05-12 11:45,Wiki,2.3.2,"","","",0,2013-04-20 05:24,2013-05-12 11:45,"",Fixed,"","Custom macros used in ""description of document"":http://www.redmine.org/projects/redmine/wiki/RedmineDocuments don't receive a defined ""@obj@"" parameter:

# in ""document view"":http://www.redmine.org/projects/redmine/repository/entry/trunk/app/views/documents/show.html.erb#L15, ""@object@"" parameter is not used when ""@textilizable@"" is called, so
# ""@obj@"" variable is ""not defined"":http://www.redmine.org/projects/redmine/repository/entry/trunk/app/helpers/application_helper.rb#L477 and any macro is called with a not defined ""@obj@""
# macros can not access to the document that is rendered

For testing, here is a macro:
<pre>
Redmine::WikiFormatting::Macros.register do
  desc ""test macro""
  macro :viewer do |obj, args|
    if obj
      'ok'
    else
      'nok'
    end
  end
end
</pre>"
13811,Redmine,Defect,"",Closed,High,Broken javascript in IE7 ; recurrence of #12195,Adrian Wilkins,"",2013-04-20 18:01,UI,2.3.1,"","","",0,2013-04-18 18:31,2013-04-20 18:01,関連している #10286,Fixed,2.3.0,"This is a recurrence of #12195 caused by a stray comma in application.js (as detailed below).

In 'public/javascripts/application.js'

<pre><code class=""javascript"">

function observeAutocompleteField(fieldId, url, options) {
  $(document).ready(function() {
    $('#'+fieldId).autocomplete($.extend({
      source: url,
      minLength: 2,
      search: function(){$('#'+fieldId).addClass('ajax-loading');},
      response: function(){$('#'+fieldId).removeClass('ajax-loading');},
    }, options));                                                      ^ extra comma that IE 7 hates
    $('#'+fieldId).addClass('autocomplete');
  });
}

</code></pre>

This breaks the subsequent loading of all other functions in application.js, which halts most Javascript execution because adding warnLeavingUnsavedMessage to the window.load event is the first thing every page does.

This class of problem is picked up by JSHint, which is available as a standard syntax check in my favoured web editor, Komodo Edit ; have taken liberty of patching away all it's complaints about

* Semicolons
* Commas
* Comparison operators

.. attached to issue.

Have not done anything about other warnings ; the one that concerned me most was the warning about a fall-through in a case statement, but without a comment to the contrary and no familiarity with the code, cannot be sure this is not intentional."
13809,Redmine,Defect,"",Closed,Normal,Issue Summary Screen Not Showing Tickets from Sub Projects,Peter Berkman,"",2018-05-13 03:03,Issues,"","","","",0,2013-04-18 18:16,2018-05-13 03:03,次のチケットと重複 #2529,Duplicate,2.2.3,"with a project hierarchy like:

     Products
          >> ProductA
          >> ProductB

where all the versions are declared at the ""Products"" level.

when you click on the ""Products"" project's ""Issues"" tab and select ""Summary"" from the right column, no tickets are shown under ""Tracker"", ""Prority"", or ""Version"".

I would expect all the tickets from the ""Products"" sub-projects to be included.

This seems like the only summary view where they are not included.

Can you change this so that they are included?"
13808,Redmine,Patch,"",Closed,Normal,"Changed Bulgarian ""label_statistics"" translation",Ivan Cenov,"",2013-04-19 09:19,Translations,2.4.0,"","","",0,2013-04-18 16:53,2013-04-19 09:19,"","","","Changed Bulgarian translations of
* label_statistics"
13796,Redmine,Defect,"",Closed,Normal,"describe the application setting ""Allow cross-project subtasks""",Terence Mill,Jean-Baptiste Barth,2013-05-09 00:50,Documentation,"","","","",0,2013-04-17 17:47,2013-05-08 10:51,関連している #13795,Fixed,"","I am not sure how it really works wor all four possible settings.

Shall be documented on site [[RedmineSettings#Issue-tracking]]"
13795,Redmine,Defect,"",Closed,Normal,"Please describe the switch ""Enable time logging"" in application repository settings",Terence Mill,Jean-Baptiste Barth,2013-05-08 10:38,Documentation,"","","","",0,2013-04-17 17:40,2013-05-08 10:38,関連している #13796,Fixed,"","I' am not sure what it does, else i would do it myself, but the place it shall be written is [[RedmineSettings]] at the very end."
