ÉvÉçÉWÉFÉNÉgñº,ê∂éYê´,çHêîó\é¿äÑçá
Project01,658,1.35
Project02,455,1.22
Project03,973,1.31
Project04,828,1.14
Project05,685,1.43
Project06,1116,1.4
Project07,832,1.29
Project08,249,1.29
Project09,583,1.39
Project10,915,1.27
Project11,184,1.16
Project12,342,1.52
Project13,236,2.94
Project14,601,0.98
Project15,323,1.4
Project16,1037,
Project17,383,1.61
Project18,180,1.53
Project19,267,1.57
Project20,36,1.13
Project21,598,1.43
Project22,741,1.75
Project23,524,2
Project24,567,1.25
Project25,463,1.96
Project26,277,0.65
Project27,114,1.93
Project28,773,2.39
Project29,230,1.48
Project30,1039,2.67
Project31,770,1.03
Project32,435,1.05
Project33,494,1.2
Project34,866,1.56
Project35,354,
Project36,954,1.45
Project37,550,1.57
Project38,254,0.81
Project39,535,1.43
Project40,393,1.06
Project41,523,1.93
Project42,248,2.14
Project43,664,2.18
Project44,632,1.99
Project45,271,1.22
Project46,915,2.25
Project47,726,1.46
Project48,1038,0.21
Project49,283,1.98
Project50,656,2.74
Project51,2640,1.23
Project52,793,1.56
Project53,190,
Project54,795,1.49
Project55,2369,1.77
