#,プロジェクト,トラッカー,親チケット,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,進捗率,作成日,終了日,関連するチケット,Resolution,Affected version,説明
18041,Redmine,Defect,NA,Closed,Normal,"Wiki, Pdf export, Table, <pre>",Ente Ente,NA,2014-10-18T15:41:00Z,PDF export,2.6.0,NA,NA,NA,0,2014-10-07T12:27:00Z,2014-10-18T15:41:00Z,NA,Fixed,2.4.3,"When exporting this wiki page:

<pre>
<code>
h1. Test

| S3 | <pre>R1</pre> | something |
</code>
</pre>

in the resulting pdf the R1 is in the wrong column"
18044,Redmine,Defect,NA,Closed,Normal,Web application could not be started,sbh bhs,NA,2014-10-08T05:15:00Z,NA,NA,NA,NA,NA,0,2014-10-08T01:29:00Z,2014-10-08T05:15:00Z,NA,Invalid,NA,"My redmine stoped to work ufter some updates.
It worked fine before i'd restart Apache.
Now i see errors like this:

Web application could not be started

An error occurred while starting up the preloader. It exited before signalling successful startup back to Phusion Passenger. Please read this article for more information about this problem.
Raw process output:

(empty)
Error ID
5e790e73
Application root
/usr/local/www/redmine
Environment (value of RAILS_ENV, RACK_ENV, WSGI_ENV, NODE_ENV and PASSENGER_APP_ENV)
production
Ruby interpreter command
/usr/local/bin/ruby19
User and groups
uid=80(www) gid=80(www) groups=80(www)
Environment variables
SERVER_SOFTWARE=Apache/2.2.29 (FreeBSD) PHP/5.3.29 with Suhosin-Patch Phusion_Passenger/4.0.53 mod_ssl/2.2.29 OpenSSL/1.0.1e-freebsd DAV/2
SERVER_PROTOCOL=HTTP/1.1
SERVER_NAME=rm.i.vvtf.ru
SERVER_ADMIN=it@vvtf.ru
SERVER_ADDR=192.168.10.202
SERVER_PORT=443
REMOTE_ADDR=192.168.10.45
REMOTE_PORT=36592
REQUEST_METHOD=GET
QUERY_STRING=
HTTPS=on
DOCUMENT_ROOT=/usr/local/www/redmine/public/
REQUEST_URI=/
UNIQUE_ID=VDR2acCoCsoAAQBtPW8AAAAC
SSL_TLS_SNI=rm.i.vvtf.ru
PASSENGER_APP_ENV=production
NODE_ENV=production
WSGI_ENV=production
RACK_ENV=production
RAILS_ENV=production
NODE_PATH=/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/node_lib
PYTHONUNBUFFERED=1
IN_PASSENGER=1
PWD=/usr/local/www/redmine
HOME=/nonexistent
SHELL=/usr/sbin/nologin
LOGNAME=www
USER=www
PASSENGER_DEBUG_DIR=/tmp/passenger.spawn-debug.IcG8lpxIiV
PATH=/sbin:/bin:/usr/sbin:/usr/bin
LD_LIBRARY_PATH=/usr/local/lib:/usr/local/lib
RC_PID=65607
Ulimits
cpu time               (seconds, -t)  unlimited
file size           (512-blocks, -f)  unlimited
data seg size           (kbytes, -d)  524288
stack size              (kbytes, -s)  65536
core file size      (512-blocks, -c)  unlimited
max memory size         (kbytes, -m)  unlimited
locked memory           (kbytes, -l)  131072
max user processes              (-u)  5547
open files                      (-n)  28890
virtual mem size        (kbytes, -v)  unlimited
swap limit              (kbytes, -w)  unlimited
sbsize                   (bytes, -b)  unlimited
pseudo-terminals                (-p)  unlimited
System metrics
------------- General -------------
Kernel version    : 10.0-RELEASE-p9
Uptime            : 17h 52m 25s
Load averages     : 1.19%, 0.85%, 0.78%

------------- CPU -------------
Number of CPUs    :    2
Average CPU usage :   0%  --   0% user,   0% nice,   0% system, 100% idle
  CPU 1           :   0%  --   0% user,   0% nice,   0% system, 100% idle
  CPU 2           :   0%  --   0% user,   0% nice,   0% system, 100% idle

------------- Memory -------------
RAM total         :   1003 MB
RAM used          :    385 MB (38%)
RAM free          :    618 MB
Swap total        :   2560 MB
Swap used         :     94 MB (4%)
Swap free         :   2465 MB

General Ruby interpreter information
RUBY_VERSION = 1.9.3
RUBY_PLATFORM = i386-freebsd10
RUBY_ENGINE = ruby
RubyGems version = 1.8.29
RubyGems paths = [""/usr/local/lib/ruby/gems/1.9""]
Ruby configuration (RbConfig::CONFIG)
DESTDIR = 
MAJOR = 1
MINOR = 9
TEENY = 1
PATCHLEVEL = 547
INSTALL = /usr/bin/install -c -o root -g wheel
EXEEXT = 
prefix = /usr/local
ruby_install_name = ruby19
RUBY_INSTALL_NAME = ruby19
RUBY_SO_NAME = ruby19
exec = exec
ruby_pc = ruby-1.9.pc
PACKAGE = ruby
BUILTIN_TRANSSRCS =  newline.c
USE_RUBYGEMS = YES
MANTYPE = doc
NROFF = /usr/bin/nroff
vendorhdrdir = /usr/local/include/ruby-1.9//vendor_ruby
sitehdrdir = /usr/local/include/ruby-1.9//site_ruby
rubyhdrdir = /usr/local/include/ruby-1.9/
UNIVERSAL_INTS = 
UNIVERSAL_ARCHNAMES = 
configure_args =  '--with-rubyhdrdir=/usr/local/include/ruby-1.9/' '--with-rubylibprefix=/usr/local/lib/ruby' '--docdir=/usr/local/share/doc/ruby19' '--with-soname=ruby19' '--program-prefix=' '--program-suffix=19' '--enable-shared' '--enable-pthread' '--disable-rpath' '--with-ruby-version=minor' '--with-sitedir=/usr/local/lib/ruby/site_ruby' '--with-vendordir=/usr/local/lib/ruby/vendor_ruby' '--disable-install-capi' '--disable-install-rdoc' '--disable-libedit' '--with-readline-prefix=/usr/local' '--prefix=/usr/local' '--mandir=/usr/local/man' '--infodir=/usr/local/info/' '--build=i386-portbld-freebsd10' 'build_alias=i386-portbld-freebsd10' 'CC=cc' 'CFLAGS=-O2 -pipe -fno-strict-aliasing' 'LDFLAGS= -Wl,-rpath,/usr/lib:/usr/local/lib' 'LIBS=-L/usr/local/lib -pthread' 'CPPFLAGS=-I/usr/local/include' 'CXX=c++' 'CXXFLAGS=-O2 -pipe -fno-strict-aliasing' 'CPP=cpp'
vendordir = /usr/local/lib/ruby/vendor_ruby
sitedir = /usr/local/lib/ruby/site_ruby
ruby_version = 1.9
sitearch = i386-freebsd10
arch = i386-freebsd10
RI_BASE_NAME = ri
ridir = /usr/local/share/ri
rubylibprefix = /usr/local/lib/ruby
MAKEFILES = Makefile
PLATFORM_DIR = 
THREAD_MODEL = pthread
SYMBOL_PREFIX = 
EXPORT_PREFIX = 
COMMON_HEADERS = 
COMMON_MACROS = 
COMMON_LIBS = 
MAINLIBS = -pthread 
ENABLE_SHARED = yes
DLDLIBS =  -lc
SOLIBS = -lexecinfo -lcrypt -lm -L/usr/local/lib -pthread
LIBRUBYARG_SHARED = -lruby19
LIBRUBYARG_STATIC = -lruby19-static
LIBRUBYARG = -lruby19
LIBRUBY = libruby19.so.19
LIBRUBY_ALIASES = libruby19.so
LIBRUBY_SO = libruby19.so.19
LIBRUBY_A = libruby19-static.a
RUBYW_INSTALL_NAME = 
rubyw_install_name = 
LIBRUBY_DLDFLAGS = -Wl,-soname,libruby19.so.19
LIBRUBY_LDSHARED = cc -shared
EXTDLDFLAGS = 
warnflags = -Wall -Wextra -Wno-unused-parameter -Wno-parentheses -Wno-long-long -Wno-missing-field-initializers -Wpointer-arith -Wwrite-strings -Wdeclaration-after-statement -Wshorten-64-to-32 -Wimplicit-function-declaration
debugflags = 
optflags = -O3
cxxflags =  -O3  -Wall -Wextra -Wno-unused-parameter -Wno-parentheses -Wno-long-long -Wno-missing-field-initializers -Wpointer-arith -Wwrite-strings -Wdeclaration-after-statement -Wshorten-64-to-32 -Wimplicit-function-declaration
cflags =  -O3  -Wall -Wextra -Wno-unused-parameter -Wno-parentheses -Wno-long-long -Wno-missing-field-initializers -Wpointer-arith -Wwrite-strings -Wdeclaration-after-statement -Wshorten-64-to-32 -Wimplicit-function-declaration
cppflags = -I/usr/local/include
NULLCMD = :
INSTALLDOC = nodoc
CAPITARGET = nodoc
RDOCTARGET = nodoc
EXECUTABLE_EXTS = 
ARCHFILE = 
LIBRUBY_RELATIVE = no
EXTOUT = .ext
PREP = miniruby
TEST_RUNNABLE = yes
setup = Setup
EXTSTATIC = 
STRIP = strip
TRY_LINK = 
LIBPATHENV = LD_LIBRARY_PATH
RPATHFLAG = 
LIBPATHFLAG =  -L%s
LINK_SO = 
LIBEXT = a
DLEXT2 = 
DLEXT = so
LDSHAREDXX = c++ -shared
LDSHARED = cc -shared
CCDLFLAGS = -fPIC
STATIC = 
ARCH_FLAG = 
DLDFLAGS = 
ALLOCA = 
codesign = 
POSTLINK = :
WERRORFLAG = -Werror
CHDIR = cd -P
RMALL = rm -fr
RMDIRS = rmdir -p
RMDIR = rmdir
CP = cp
RM = rm -f
PKG_CONFIG = pkg-config
DOXYGEN = 
DOT = 
MAKEDIRS = /bin/mkdir -p
MKDIR_P = /bin/mkdir -p
INSTALL_DATA = install  -o root -g wheel -m 0644
INSTALL_SCRIPT = install  -o root -g wheel -m 555
INSTALL_PROGRAM = install  -s -o root -g wheel -m 555
SET_MAKE = 
LN_S = ln -s
NM = nm
DLLWRAP = 
WINDRES = 
OBJCOPY = :
OBJDUMP = objdump
ASFLAGS = 
AS = as
AR = ar
RANLIB = ranlib
try_header = 
COUTFLAG = -o 
OUTFLAG = -o 
CPPOUTFILE = -o conftest.i
GNU_LD = yes
GCC = yes
EGREP = /usr/bin/egrep
GREP = /usr/bin/grep
CPP = cpp
CXXFLAGS = -O2 -pipe -fno-strict-aliasing
CXX = c++
OBJEXT = o
CPPFLAGS = -I/usr/local/include  -I/usr/local/include
LDFLAGS = -L.  -Wl,-rpath,/usr/lib:/usr/local/lib -rdynamic
CFLAGS = -O2 -pipe -fno-strict-aliasing -fPIC
CC = cc
target_os = freebsd10
target_vendor = portbld
target_cpu = i386
target = i386-portbld-freebsd10
host_os = freebsd10
host_vendor = portbld
host_cpu = i386
host = i386-portbld-freebsd10
RUBYW_BASE_NAME = rubyw
RUBY_BASE_NAME = ruby
build_os = freebsd10
build_vendor = portbld
build_cpu = i386
build = i386-portbld-freebsd10
RUBY_RELEASE_DATE = 2014-05-14
RUBY_PROGRAM_VERSION = 1.9.3
BASERUBY = ruby
target_alias = 
host_alias = 
build_alias = i386-portbld-freebsd10
LIBS = -lexecinfo -lcrypt -lm -L/usr/local/lib -pthread
ECHO_T = 
ECHO_N = -n
ECHO_C = 
DEFS = 
mandir = /usr/local/man
localedir = /usr/local/share/locale
libdir = /usr/local/lib
psdir = /usr/local/share/doc/ruby19
pdfdir = /usr/local/share/doc/ruby19
dvidir = /usr/local/share/doc/ruby19
htmldir = /usr/local/share/doc/ruby19
infodir = /usr/local/info
docdir = /usr/local/share/doc/ruby19
oldincludedir = /usr/include
includedir = /usr/local/include
localstatedir = /usr/local/var
sharedstatedir = /usr/local/com
sysconfdir = /usr/local/etc
datadir = /usr/local/share
datarootdir = /usr/local/share
libexecdir = /usr/local/libexec
sbindir = /usr/local/sbin
bindir = /usr/local/bin
program_transform_name = s&$&19&;s&^&&
exec_prefix = /usr/local
PACKAGE_URL = 
PACKAGE_BUGREPORT = 
PACKAGE_STRING = 
PACKAGE_VERSION = 
PACKAGE_TARNAME = 
PACKAGE_NAME = 
PATH_SEPARATOR = :
SHELL = /bin/sh
rubylibdir = /usr/local/lib/ruby/1.9
archdir = /usr/local/lib/ruby/1.9/i386-freebsd10
sitelibdir = /usr/local/lib/ruby/site_ruby/1.9
sitearchdir = /usr/local/lib/ruby/site_ruby/1.9/i386-freebsd10
vendorlibdir = /usr/local/lib/ruby/vendor_ruby/1.9
vendorarchdir = /usr/local/lib/ruby/vendor_ruby/1.9/i386-freebsd10
topdir = /usr/local/lib/ruby/1.9/i386-freebsd10
Ruby load path ($LOAD_PATH)
/usr/local/lib/ruby/site_ruby/1.9
/usr/local/lib/ruby/site_ruby/1.9/i386-freebsd10
/usr/local/lib/ruby/site_ruby
/usr/local/lib/ruby/vendor_ruby/1.9
/usr/local/lib/ruby/vendor_ruby/1.9/i386-freebsd10
/usr/local/lib/ruby/vendor_ruby
/usr/local/lib/ruby/1.9
/usr/local/lib/ruby/1.9/i386-freebsd10
Ruby loaded libraries ($LOADED_FEATURES)
enumerator.so
/usr/local/lib/ruby/1.9/i386-freebsd10/enc/encdb.so
/usr/local/lib/ruby/1.9/i386-freebsd10/enc/trans/transdb.so
/usr/local/lib/ruby/site_ruby/1.9/rubygems/defaults.rb
/usr/local/lib/ruby/1.9/i386-freebsd10/rbconfig.rb
/usr/local/lib/ruby/site_ruby/1.9/rubygems/deprecate.rb
/usr/local/lib/ruby/site_ruby/1.9/rubygems/exceptions.rb
/usr/local/lib/ruby/site_ruby/1.9/rubygems/custom_require.rb
/usr/local/lib/ruby/site_ruby/1.9/rubygems.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger.rb
/usr/local/lib/ruby/1.9/i386-freebsd10/etc.so
/usr/local/lib/ruby/1.9/fileutils.rb
/usr/local/lib/ruby/1.9/tmpdir.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/utils/tmpio.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/platform_info.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/platform_info/operating_system.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/platform_info/ruby.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/platform_info/binary_compatibility.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/buildout/ruby/ruby-1.9.3-x86-freebsd10/passenger_native_support.so
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/native_support.rb
/usr/local/lib/ruby/1.9/i386-freebsd10/socket.so
/usr/local/lib/ruby/1.9/socket.rb
/usr/local/lib/ruby/1.9/thread.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/ruby_core_enhancements.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/utils/tmpdir.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/utils.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/preloader_shared_helpers.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/constants.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/public_api.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/debug_logging.rb
/usr/local/lib/ruby/1.9/shellwords.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/utils/shellwords.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/loader_shared_helpers.rb
/usr/local/lib/ruby/1.9/i386-freebsd10/fcntl.so
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/message_channel.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/message_client.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/utils/native_support_utils.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/utils/unseekable_socket.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/request_handler/thread_handler.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/request_handler.rb
/usr/local/lib/ruby/1.9/i386-freebsd10/stringio.so
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/utils/tee_input.rb
/usr/local/lib/ruby/gems/1.9/gems/passenger-4.0.53/lib/phusion_passenger/rack/thread_handler_extension.rb"
18054,Redmine,Defect,NA,Closed,Normal,New install of Redmine,sbh bhs,NA,2014-10-10T05:31:00Z,NA,NA,NA,NA,NA,0,2014-10-10T05:19:00Z,2014-10-10T05:28:00Z,NA,Invalid,NA,"I had install new redmine on FreeBSD 10.
When i try to open tab with redmine it my browser i got an error:

Web application could not be started
An error occurred while starting up the preloader. It exited before signalling successful startup back to Phusion Passenger. Please read this article for more information about this problem.
Raw process output:

(empty)

How to fix it???"
18055,Redmine,Defect,NA,New,Normal,"Wiki page ""HowTo Configure Fail2ban For Redmine"" contains incomplete/misleading instructions",Gilles L?onard,NA,2016-04-22T03:06:00Z,Documentation,NA,NA,NA,NA,0,2014-10-10T06:08:00Z,NA,NA,NA,2.5.0,"[[HowTo_Configure_Fail2ban_For_Redmine]]
I am running Redmine with the following versions:
Environment:
  Redmine version                2.5.1.stable.13174
  Ruby version                   2.0.0-p481 (2014-05-08) [x86_64-linux]
  Rails version                  3.2.18
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.8.8
  Git                            1.9.1

Redmine is installed on Ubuntu 14.04.1 LTS (GNU/Linux 3.13.0-24-generic x86_64)

In *Configure* section of the howto, in the box following the text that says ""add following lines somewhere in your /etc/fail2ban/jail.conf..."", the action line (action = iptables-allports[name=redmine]) is a bit heavy handed as it bans all ports, not only http and https. 

This is a problem, especially in view of the fact that the rest of the howto fails to inform you that Redmine doesn't prepends logged lines with a time stamp in ""production.log"" with the result that ""when you're banned, you're banned forever ever ever ever... on all ports, including SSH which might be your only possible access to a cloud server. I got locked out ! Fortunately, DigitalOcean VMs have a remote console access that I could use to get out of trouble.

Here are the changes that propose based on my production setup that has successfully tested in the above mentioned environment:
# No changes should me made to /etc/fail2ban/jail.conf as this file gets overwritten every time fail2ban gets updated. Instead, it is recommended to create or add to a file named /etc/fail2ban/jail.local;
#  The content of the Redmine section in /etc/fail2ban/jail.local should read as follow:
@
[redmine]
enabled  = true
filter   = redmine
port     = http,https
logpath  = /srv/redmine/log/production.log
maxretry = 5
findtime = 600
bantime = 600
@
This would have the effect of banning the IP address of a client trying to connect on ports HTTP and HTTPS for 10 minutes,  after it has seen 5 failed login reties within the last 10 minutes. 
# The howto contains some explanation about findtime and bantime that is not in line with fail2ban's documentation and the result of using the large numbers that are proposed in the howto would not yeld good results.
# Note that on my production setup the default location of Redmine's production log is in /srv/redmine/production.log
# A section should be added to explain how to get redmine to add a timestamp in front of each line production.log, and it should read as follow ""Add the following to /srv/redmine/config/environment.rb :""
@
class Logger
 def format_message(severity, timestamp, progname, msg)
 ""#{timestamp} (#{$$}) #{msg}\n"" 
 end
end
@



"
18058,Redmine,Defect,NA,Closed,Normal,Wrong redirect after saving changes to a version (Firefox with network.http.referer.trimmingPolicy = 2),Maurice M.,Jean-Philippe Lang,2014-10-23T06:03:00Z,Roadmap,NA,NA,NA,NA,0,2014-10-10T11:13:00Z,2014-10-21T22:49:00Z,NA,Invalid,2.5.1,"Steps to reproduce:
* Go to a roadmap page
* Click on a version number
* Click on _edit_ (URL ex: @/versions/65/edit@)
* Click on _Save_
You'll be redirect to the main page. I'd expect to be redirected back to the roadmap page.

The same applies to editing versions via _Project Page_ > _Settings_ > _Versions tab_.

My Configuration:
<pre>
Environment:
  Redmine version                2.5.1.stable
  Ruby version                   1.8.7-p352 (2011-06-30) [x86_64-linux]
  Rails version                  3.2.17
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.6.11
  Git                            1.7.1
  Filesystem
Redmine plugins:
  no plugin installed

</pre>"
18060,Redmine,Defect,NA,Closed,Normal,"Selected projects in email notifications on ""my account"" are lost when the page is redisplayed after a validation error.",Felix Sch?fer,Jean-Philippe Lang,2014-11-23T09:45:00Z,Email notifications,2.6.1,NA,NA,NA,0,2014-10-10T15:42:00Z,2014-11-23T09:45:00Z,NA,Fixed,2.5.2,"On ""my account"" with ""for any event on the selected projects only"" selected in the email notifications area and some projects selected for that, the selected projects (newly selected and already saved) are lost if the page gets redisplayed after for example a validation error (no first name for example)."
18068,Redmine,Defect,NA,Closed,Normal,Copying Projects & Parent Child Issues,James H,NA,2014-11-08T12:10:00Z,Issues,NA,NA,NA,NA,0,2014-10-10T23:59:00Z,2014-11-08T12:10:00Z,NA,NA,2.4.3,"Issues that have parent child relationships only show up as nested in a tree view in the issues list when the issues are in order (parent first then children immediately below it).

When copying projects...
* If I have the issues in order to show up in a nested view, the parent issue still gets copied first before its children and shows up incorrect.
* If I put the issues in opposite order, it still behaves similarly. 
* I have no way to have a nested view of issues after copying a project.

i.e.
+Project Issues to be copied:+
- Child Issue 1.1
- Child Issue 1.2
- Child Issue 1.3
Parent Issue 1
Parent Issue 2
- Child Issue 2.1
- Child Issue 2.2
Parent Issue 3
- Child Issue 2.1
- Child Issue 2.2


+becomes:+
- Child Issue 1.1
- Child Issue 1.2
- Child Issue 1.3
Parent Issue 1
- Child Issue 2.1
- Child Issue 2.2
Parent Issue 2
- Child Issue 2.1
- Child Issue 2.2
Parent Issue 3
"
18081,Redmine,Defect,NA,Closed,Normal,Create a new group - 500 Internal Server Error,Roger tjmg,NA,2014-10-14T17:41:00Z,NA,NA,NA,NA,NA,0,2014-10-13T21:13:00Z,2014-10-14T17:41:00Z,NA,Invalid,NA,"When i try to create a new group, the message 500 Internal Server Error appears.

Environment:
Redmine version 2.3.0.stable.11744
Ruby version 1.8.7 (x86_64-linux)
Rails version 3.2.13
Environment production
Database adapter MySQL
Redmine plugins:
redmine_loader 0.0.12
redmine_testlinklink 1.0.0

Started POST ""/groups"" for 10.0.1.33 at Wed Sep 17 10:53:26 -0300 2014
Processing by GroupsController#create as HTML
Parameters: {""group""=>{""name""=>""TEST""}, ""authenticity_token""=>""cGCTAk8JBMs+ChiUrQIykrT4hpUa78bh554Ndw9qdYc="", ""utf8""=>""?"", ""commit""=>""Criar""}
Current user: admin (id=1)
Completed 500 Internal Server Error in 29ms

ActiveRecord::RecordNotUnique (Mysql::Error: Duplicate entry '' for key 'uclogin': INSERT INTO `users` (`admin`, `auth_source_id`, `created_on`, `firstname`, `hashed_password`, `identity_url`, `language`, `last_login_on`, `lastname`, `login`, `mail`, `mail_notification`, `salt`, `status`, `type`, `updated_on`) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)):
app/controllers/groups_controller.rb:52:in `create'
app/controllers/groups_controller.rb:51:in `create'"
18094,Redmine,Defect,NA,Closed,Normal,List custom filed with multiple values displayed as check boxes cannot be unchecked,Marius BALTEANU,NA,2014-10-20T21:29:00Z,Custom fields,NA,NA,NA,NA,0,2014-10-14T17:09:00Z,2014-10-20T21:29:00Z,次のチケットと重複 #16798,Duplicate,2.5.2,"Steps to reproduce:
# Add new custom field for issues with the following attributes:
Format: List
Name: Test
Description:
Multiple values: Yes
Possible values: One, Two, Three
Default value:
Link values to URL:
Display: checkboxes

# Enable the custom field on a tracker
# Enable the custom field on a project
# Add a new issue on the respective project and tracker
# Check on option for Test field
# Save
# Edit issue
# Uncheck all options for Test field
# Save
# Observe that the option is still checked

I observed in logs that when the request is made with no option checked, the custom field is not sent."
18095,Redmine,Defect,NA,Confirmed,Normal,Unable to submit time entries via REST API for activities that have become project-specific,Alex MacAulay,NA,2014-11-14T11:43:00Z,REST API,NA,NA,NA,NA,0,2014-10-14T17:34:00Z,NA,NA,NA,2.5.2,"Steps to reproduce: Create a new project. In web interface, go to ""Settings"" tab, then go to ""Activities (time tracking)"" tab. Deactivate an activity (let's say ""Design"") by unchecking the checkbox. Click ""Save"". Then reactivate the activity by re-checking the checkbox. Click ""Save"".

At this point, there is a project-specific activity for the ""Design"" activity in the Redmine database, in addition to the system-level ""Design"" activity. So the first question could be: is this a bug? Should the project-specific activity no longer exist when it has been reactivated? For the moment, I'll assume that it is reasonable that it continues to exist.

So, now I make a request to the REST API to get an enumeration of the time entry activities (GET /enumerations/time_entry_activities.xml). It returns only the system-level time entry activities.

However, if I use the web interface to submit a time entry on the ""Design"" activity for my project via the web interface, it uses the project-specific ID for the time entry.

This inconsistency between the behavior exposed via the REST API and the web interface means that I'm unable to submit time entries via the REST API for project-specific activities, because the REST API does not give me the IDs of those activities.

In order to resolve the bug, I would propose to modify the code that adds time entries in order to converts a system-level time entry activity ID to the corresponding project-specific time entry activity ID if it exists. I've attached a proposed patch.

For reference, here is the output of ruby script/about:

<pre>
Environment:
  Redmine version                2.5.2.devel.13434
  Ruby version                   1.8.7-p352 (2011-06-30) [x86_64-linux]
  Rails version                  3.2.19
  Environment                    production
  Database adapter               PostgreSQL
SCM:
  Subversion                     1.6.11
  Git                            1.7.1
  Filesystem
Redmine plugins:
  no plugin installed
</pre>"
