#,プロジェクト,トラッカー,親チケット,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,進捗率,作成日,終了日,関連するチケット,Resolution,Affected version,説明
25775,Redmine,Patch,NA,Closed,Normal,Show assignee's icon in addition to author's icon,Go MAEDA,Jean-Philippe Lang,2017-06-10T14:27:00Z,UI,3.4.0,NA,NA,NA,0,2017-05-06T08:01:00Z,2017-06-10T14:27:00Z,関連している #19648,NA,NA,"In current versions of Redmine, author's icon is displayed in the upper left corner of issues if ""Use Gravatar user icons"" setting is enabled.

I think it would be very useful if we can see assignee's icon in addition to author's icon because who is the person in charge is important information to manage projects.

Currently we can see very small (14px) assignee's icon in ""Assignee"" field but it is not noticeable. If attached patch (attachment:0001-Show-assignee-s-icon-in-addition-to-author-s-icon.patch) is applied, assignee's icon will be much noticeable and we can easily know current assignee.

!{border: 1px solid #ccc;}.assignee-icon-with-author-icon@2x.png!"
25853,Redmine,Patch,NA,New,Normal,Move left bottom links from project settings above,Marius BALTEANU,NA,2017-06-27T00:59:00Z,UI,Candidate for next minor release,NA,NA,NA,0,2017-05-15T21:50:00Z,NA,NA,NA,NA,"This patch is related to #24720 where all ""New item"" links were been moved above the list. 

There are three more links left under the list and I think it's better to have them all above the list:
1. ""Close completed versions"" from Versions tab
2. ""Delete"" from Wiki tab
3. ""Reset"" from Activities tab

I've attached 2 patches:

h3. move_close_completed_versions_above.patch

* adds the ""icon"" and ""icon-lock"" classes to the link (the same icon is used for button ""Close project"") 
* adds a class ""left"" for existing contextual class to let the icons aligned to left (according to the #24720)

h3. move_delete_and_reset_above_the_list.patch

* moves the ""Delete"" link from wiki tab on the same line with the wiki input field. I find it more natural to be there.
* moves the ""Reset"" link from activities above the list.
 
I made this patch after I find out that our users didn't know about the button ""Close completed version"" which is very well hidden when the projects have many versions."
25861,Redmine,Patch,NA,Closed,Normal,CSV Importer - handle UndefinedConversionErrors,Jens Kr?mer,Jean-Philippe Lang,2017-06-06T22:56:00Z,Importers,3.2.7,NA,NA,NA,0,2017-05-16T11:07:00Z,2017-06-06T22:56:00Z,NA,NA,NA,"The CSV import already handles a couple of Exceptions that may happen when the user-selected encoding does not match the real encoding of the CSV (or it contains otherwise illegal byte sequences). We recently encountered @Encoding::UndefinedConversionError@, which is not yet caught by that error handling. The attached patches add a test case and a fix for that."
25876,Redmine,Patch,NA,Closed,Normal,Gantt chart shows % done even if the field is disabled for the tracker,Jens Kr?mer,NA,2017-06-15T06:49:00Z,Gantt,3.4.0,NA,NA,NA,0,2017-05-17T02:55:00Z,2017-06-15T06:49:00Z,NA,NA,NA,"When disabling the _% done_ field for a given tracker, issues of this tracker still have _x %_ in their label in the gantt chart. The attached patch fixes this by checking @issue.disabled_core_fields@ when building the label."
26030,Redmine,Patch,NA,New,Normal,"Like issues and news comments, want to specify the display order of the forum's reply.",Minoru Maeda,NA,2017-08-01T09:25:00Z,Forums,4.1.0,NA,NA,NA,0,2017-05-24T11:26:00Z,NA,"関連している #26033, 関連している #11120",NA,NA,"This patch also applies the setting order of comments in ""My account"" to the forum."
26043,Redmine,Patch,NA,Closed,Normal,"Set the parent page automatically when creating a wiki page from the ""Add page"" link",Minoru Maeda,Jean-Philippe Lang,2017-07-08T18:37:00Z,Wiki,4.0.0,NA,NA,NA,0,2017-05-25T12:14:00Z,2017-07-08T15:55:00Z,NA,NA,NA,"This patch automatically sets the value on the form as the parent page of the new page, the page that clicked the ""New wiki page"" button.
However, it does not correspond to the creation of a new page in the ""+"" menu."
26091,Redmine,Patch,NA,New,Normal,Allow to filter by any visible version on the global issues view,Holger Just,NA,2017-07-15T09:40:00Z,Issues filter,4.1.0,NA,NA,NA,0,2017-06-02T17:52:00Z,NA,関連している #26023,NA,NA,"Currently, the global issues view only allows to filter by system-shared versions but not e.g. for versions shared to some projects or not stared at all.

Since the global issue view is often used as a quick filter to check what is happening in all projects, filtering by any visible version would allow to drill down from there instead of having to first select the correct parent project and then starting the filter there. Also, with saved shared queries, a common starting point is the global issue view instead of individual projects.

The attached patch removes the restriction to only allow filtering by system-shared versions. Instead, it allows filtering by any version visible to the current user."
26104,Redmine,Patch,NA,New,Normal,Quick jump to issue only if searching for issues,Holger Just,NA,2017-06-25T17:03:00Z,Search engine,Candidate for next minor release,NA,NA,NA,0,2017-06-06T15:31:00Z,NA,NA,NA,NA,"Previously, we would always jump to the issue if a user searches for a, number which exists as an issue ID, regardless where the user searches. That made it impossible to search for e.g. prefixes of phone numbers in wiki pages.

With the attached patch, we are only jumping to the matching issue if we are searching for issues. This results in a behavior change for the quick search box in the the wiki and other areas. Previously, we would also jump to an issue there. Now, we just search in the wiki for the number.

The quick search bar in issues as well as the global search for all objects is unaffected by this change."
26122,Redmine,Patch,NA,New,Normal,Implementation of visible conditions with inner join instead of subselect,Pavel Rosick?,NA,2017-06-30T14:10:00Z,Performance,4.1.0,NA,NA,NA,0,2017-06-07T22:51:00Z,NA,NA,NA,NA,"The change from #21608 should be reverted because it's a speed regression:

1/ current version
<pre>EXISTS (SELECT 1 AS one FROM enabled_modules em WHERE em.project_id = projects.id AND em. NAME = 'issue_tracking')</pre>

2/ previous version (actually faster even without an index on enabled modules)
<pre>projects.id IN (SELECT project_id FROM enabled_modules em WHERE em.project_id = projects.id AND em. NAME = 'issue_tracking'</pre>

3/ fastest version (in some cases better indexes were used)
<pre>INNER JOIN `enabled_modules` ON `enabled_modules`.`project_id` = `projects`.`id` WHERE `enabled_modules`.`name` = 'issue_tracking'</pre> or
<pre>INNER JOIN `enabled_modules` ON `enabled_modules`.`project_id` = `projects`.`id` AND `enabled_modules`.`name` = 'issue_tracking'</pre>

Patches:
* revert of #21608, because the previous version was faster (about 30%)
* new index ""enabled_modules_name"", but it's not very helpful unless you have many projects (3000+)
* implementation of visible conditions with inner join instead of subselect, it passes all tests, but it should be refactored. I want to know what do you think about it first

<pre>
Rails version             4.2.8
Ruby version              2.1.9-p490 (x64-mingw32)
RubyGems version          2.6.12
Rack version              1.6.8
Middleware                Rack::Sendfile, Rack::ContentLength, ActionDispatch::Static, Rack::Lock, #<ActiveSupport::Cache::Strategy::LocalCache::Middleware:0x00000007745610>, Rack::Runtime, Rack::MethodOverride, ActionDispatch::RequestId, Rails::Rack::Logger, ActionDispatch::ShowExceptions, ActionDispatch::DebugExceptions, ActionDispatch::RemoteIp, ActionDispatch::Reloader, ActionDispatch::Callbacks, ActiveRecord::ConnectionAdapters::ConnectionManagement, ActiveRecord::QueryCache, ActionDispatch::Cookies, ActionDispatch::Session::CookieStore, ActionDispatch::Flash, ActionDispatch::ParamsParser, ActionDispatch::XmlParamsParser, Rack::Head, Rack::ConditionalGet, Rack::ETag, RequestStore::Middleware, OpenIdAuthentication
Environment               development
Database adapter          mysql2
Database schema version   20170607051650
</pre>"
26125,Redmine,Patch,NA,Closed,Normal,Unify form#query_form on calendar/gantt views with issues/spent time views,Mischa The Evil,Jean-Philippe Lang,2017-07-08T18:37:00Z,UI,4.0.0,NA,NA,NA,0,2017-06-09T00:05:00Z,2017-06-25T17:17:00Z,NA,NA,NA,"I noticed a difference between the rendering of the query filter forms on the issues & spent time views and the query filter forms on the calendar and gantt views. I fixed it with the following changes:
* *1. Fix HTML structure of form#query_form on calendar/gantt views.*
This unifies the HTML structure of the query form on the calendars/show
and gantts/show views to be the same as it is currently for the issues
and spent time views, which were themself unified into the new
queries/_query_form partial in r15649.
* *2. Fix source indentation and newline usage.*
This unifies the source layout of the query form on the calendars/show
and the gantts/show views with the queries/_query_form partial.
* *3. Unify form#query_form structure on calendar/gantt views.*
This:
** moves the p with inline style on the calendar view (which
wraps the navigation buttons) out of div#query_form_content
and adds the contextual class to the element to unify this
with the gantt view (and to remove the inline style from
the element now that it's styled through a stylesheets'
style [.contextual in fact]);
** restores the 12px font-size of the calendar navigation
buttons;
** increases the font-size of the gantt zoom buttons to 12px;
** increases the margin of the calendar navigation and gantt
zoom buttons to 12px 0px.
* *4. Add test assertions to the four controller test cases.*

To make the changes a bit more visual, here some ASCII and image graphics:

|_.view    |_.was       |_.becomes   |
|issues    |<pre>  form#query_form
    inputs
    div#query_form_with_buttons.hide-when-print
      div#query_form_content
        fieldset#filters.collapsible
        fieldset#options
      p.buttons</pre> |<pre>  form#query_form
    inputs
    div#query_form_with_buttons.hide-when-print
      div#query_form_content
        fieldset#filters.collapsible
        fieldset#options
      p.buttons</pre> |
|          |!issues-current.png!       |!issues-fixed.png!      |
|spenttime |<pre>  form#query_form
    inputs
    div#query_form_with_buttons.hide-when-print
      div#query_form_content
        fieldset#filters.collapsible
        fieldset#options
      p.buttons</pre> |<pre>  form#query_form
    inputs
    div#query_form_with_buttons.hide-when-print
      div#query_form_content
        fieldset#filters.collapsible
        fieldset#options
      p.buttons</pre> |
|          |!spenttime-current.png!       |!spenttime-fixed.png!       |
|calendar  |<pre>  form#query_form
    inputs
    fieldset#filters.collapsible
    p(inlineStyles)
    p.buttons</pre> |<pre>  form#query_form
    inputs
    div#query_form_with_buttons.hide-when-print
      div#query_form_content
        fieldset#filters.collapsible
      p.contextual
      p.buttons</pre> |
|          |!calendar-current.png!       |!calendar-fixed.png!       |
|gantt     |<pre>  form#query_form
    inputs
    fieldset#filters.collapsible
    fieldset#options
    p.contextual
    p.buttons</pre> |<pre>  form#query_form
    inputs
    div#query_form_with_buttons.hide-when-print
      div#query_form_content
        fieldset#filters.collapsible
        fieldset#options
      p.contextual
      p.buttons</pre> |
|          |!gantt-current.png!    |!gantt-fixed.png!       |

I'll attach four patches implementing these changes. This patch serial, against current source:/trunk@16643, is produced using @git format-patch@ which makes the individual patches apply-able using ""@patch -p1 < 0001-...@"".

Environment:
<pre>
Environment:
  Redmine version                3.3.3.devel@r16643
  Ruby version                   2.3.3-p222 (2016-11-21) [x86_64-linux]
  Rails version                  4.2.8
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.8.8
  Git                            1.9.1
  Filesystem                     
Redmine plugins:
  no plugin installed
</pre>
"
26130,Redmine,Patch,NA,Closed,Normal,"Refactor ""multiple_values_detail"" struct creation",Thomas L?ber,Jean-Philippe Lang,2017-07-08T18:37:00Z,Code cleanup/refactoring,4.0.0,NA,NA,NA,0,2017-06-09T14:42:00Z,2017-06-25T21:24:00Z,NA,NA,NA,"Hi,

In the ""IssuesHelper#details_to_strings"":/projects/redmine/repository/entry/trunk/app/helpers/issues_helper.rb method (source:trunk/app/helpers/issues_helper.rb@16387#L373) a new class (Struct) is created each time the method is called:

<pre><code class=""ruby"">
  multiple_values_detail = Struct.new(:property, :prop_key, :custom_field, :old_value, :value)
</code></pre>

Although classes are garbage collected in recent Ruby versions, it might be better to use a constant definition outside the method, like:

<pre><code class=""ruby"">
  MultipleValuesDetail = Struct.new(:property, :prop_key, :custom_field, :old_value, :value)
</code></pre>

Regards,
Thomas"
26136,Redmine,Patch,NA,Closed,Normal,Japanese translation update (r16538),Go MAEDA,NA,2017-06-12T06:01:00Z,Translations,NA,NA,NA,NA,0,2017-06-12T02:32:00Z,2017-06-12T06:01:00Z,NA,NA,NA,Translated setting_show_custom_fields_on_registration introduced in r16538.
26139,Redmine,Patch,NA,Reopened,Normal,Follow Gemfile's plugin loader as #24007,Sho HASHIMOTO,Jean-Philippe Lang,2017-06-18T13:57:00Z,Plugin API,NA,NA,NA,NA,0,2017-06-12T11:31:00Z,2017-06-17T09:31:00Z,"関連している #13927, ブロックしている #24007",NA,NA,Plugin's Gemfile can't settable from Redmine::Plugin.directory yet.
26149,Redmine,Patch,NA,Closed,Normal,Remove duplicate method shell_quote,Jens Kr?mer,Jean-Philippe Lang,2017-06-17T09:43:00Z,Code cleanup/refactoring,3.4.0,NA,NA,NA,0,2017-06-13T08:38:00Z,2017-06-17T09:43:00Z,NA,NA,NA,"There are two identical methods @shell_quote@ declared in @Redmine::Utils::Shell@ and @Redmine::Scm::Adapters::AbstractAdapter@.

This patch removes the duplicate declaration from @AbstractAdapter@ and also extracts a generic @shell_quote_command@ method into @Redmine::Utils::Shell@."
26157,Redmine,Patch,NA,Closed,Normal,Render all possible inline textile images,Holger Just,Jean-Philippe Lang,2017-06-17T09:45:00Z,Text formatting,3.4.0,NA,NA,NA,0,2017-06-13T18:58:00Z,2017-06-17T09:45:00Z,NA,NA,NA,"In r15433, Redmine introduced a security measure to restrict embedding images to only those with valid schemes from Textile.

Now, if there are multiple images referenced on a page, with only one of them invalid, Redmine currently doesn't create @<img>@ tags for any of them since it would return from the replacement method too soon.

This patch fixes this behavior in that it still allows to embed all valid images and only refuses to embed the invalid ones by skipping the rest of the current @gsub@ iteration instead of the whole method. The patch was extracted from ""Planio"":https://plan.io/redmine-hosting/"
26180,Redmine,Patch,NA,Closed,Normal,"Change Russian translation for ""Estimated time""",Ivan Ilyukhin,NA,2017-06-23T11:33:00Z,Translations,3.4.0,NA,NA,NA,0,2017-06-16T16:34:00Z,2017-06-22T15:37:00Z,NA,NA,NA,Fix translation for field_total_estimated_hours
26187,Redmine,Patch,NA,Closed,Normal,Japanese translation update (label_no_preview_alternative_html),Go MAEDA,NA,2017-06-19T07:40:00Z,Translations,NA,NA,NA,NA,0,2017-06-18T09:07:00Z,2017-06-19T07:40:00Z,NA,NA,NA,Translated @label_no_preview_alternative_html@ added in r16673 (#26035).
26188,Redmine,Patch,NA,Closed,Normal,Documentation (detailed syntax help & code) additions/improvements,Mischa The Evil,Jean-Philippe Lang,2017-06-25T11:08:00Z,Documentation,3.4.0,NA,NA,NA,0,2017-06-18T13:52:00Z,2017-06-25T11:08:00Z,"関連している #4179, 関連している #9600, 関連している #13497, ブロックされている #21375",NA,NA,"Following #21375#note-11, I made four additional (code) documentation changes:

# -Complement external URL documentation.- +posted as #21375#note-11+
# Fix typo in detailed Japanse textile doc. (the closing angle bracket seems superfluous)
# Add user link documentation. (detailed syntax doc; this was still missing from #4179)
# Fix code doc indentation. (in @ApplicationHelper#parse_redmine_links@)
# Add code doc for forum & news links. (in @ApplicationHelper#parse_redmine_links@; this was missing from #9600)

I'll attach the four remaining patches implementing these changes. The patch serial, against current source:/trunk@16676, is produced using @git format-patch@ which makes it apply-able using ""@patch -p1 < 0001-...@"". This serial is a continuation of #21375#note-11 which includes patch 1/5 of this set, making these patches dependent on #21375#note-11 integration.
I'll also change the respective wiki pages accordingly when the patches have been committed.

Environment:
<pre>
Environment:
  Redmine version                3.3.3.devel@r16676
  Ruby version                   2.3.3-p222 (2016-11-21) [x86_64-linux]
  Rails version                  4.2.8
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.8.8
  Git                            1.9.1
  Filesystem                     
Redmine plugins:
  no plugin installed
</pre>"
26261,Redmine,Patch,NA,Closed,Normal,Updated Simplified Chinese translation file,Steven Wong,NA,2017-06-27T07:28:00Z,Translations,NA,NA,NA,NA,0,2017-06-26T11:14:00Z,2017-06-27T07:28:00Z,NA,NA,NA,"Simplified Chinese translation file updated for dev_20170625.
Please check the patch. Thanks.
"
