#,プロジェクト,トラッカー,親チケット,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,進捗率,作成日,終了日,関連するチケット,Resolution,Affected version,説明
25341,Redmine,Patch,NA,Closed,Normal,Traditional Chinese translation (to r16409),ChunChang Lo,NA,2017-03-16T13:08:00Z,Translations,NA,NA,NA,NA,0,2017-03-16T04:57:00Z,2017-03-16T13:08:00Z,"コピー元 #25277, コピー先 #25556",NA,NA,"* New
** label_last_notes
"
25349,Redmine,Patch,NA,Closed,Normal,Russian translation (r16388),Kirill Bezrukov,NA,2017-04-05T19:14:00Z,Translations,NA,NA,NA,NA,0,2017-03-16T13:20:00Z,2017-04-03T18:52:00Z,"関連している #25392, コピー元 #15953",NA,NA,"<pre>
error_no_projects_with_tracker_allowed_for_new_issue: Нет проектов с трекерами
    для которых можно создать задачу
  field_textarea_font: Шрифт для полей описания
  label_font_default: Шрифт по умолчанию
  label_font_monospace: Моноширинный шрифт
  label_font_proportional: Пропорциональный шрифт
  setting_timespan_format: Формат промежутка времени
  label_table_of_contents: Содержание
  setting_commit_logs_formatting: Использовать форматирование в изменениях
  setting_mail_handler_enable_regex_delimiters: Использовать регулярные выражения
  error_move_of_child_not_possible: 'Подзадача %{child} не может быть перенесена в новый 
    проект: %{errors}'
  error_cannot_reassign_time_entries_to_an_issue_about_to_be_deleted: Затраченное время не может
    быть переназначено на задачу, которая будет удалена
  setting_timelog_required_fields: Обязательные поля для трудозатрат
  label_attribute_of_object: '%{object_name} %{name}'
  label_user_mail_option_only_assigned: Только для объектов, которые я отслеживаю или которые назначены на меня
  label_user_mail_option_only_owner: Только для объектов, которые я отслеживаю или в которых я являюсь владельцем
  warning_fields_cleared_on_bulk_edit: Изменения приведут к автоматическому удалению
???? значений из одного или нескольких полей на выбранных объектах
  field_updated_by: Изменено
  field_last_updated_by: Последнее изменение
  field_full_width_layout: По ширине
  label_last_notes: Последнее примечание
</pre>"
25392,Redmine,Patch,NA,Closed,Normal,Change Russian translation for field_due_date and label_relation_new,Ilya Potapov,Jean-Philippe Lang,2017-04-03T15:33:00Z,Translations,3.4.0,NA,NA,NA,0,2017-03-21T19:39:00Z,2017-04-03T15:33:00Z,"関連している #25397, 関連している #25349",NA,NA,"There is a mistranslation for these labels in redmine:

* field_due_date: Дата завершения
** In russian it has the meaning of *actual* date of completeness, when all is done. Due date is like a deadline, so it should be translated as ""Срок завершения""
* label_relation_new: Новое отношение
** In russian it has the meaning of new relationship with somebody, or new point of view about something. So it should be translated as ""Новая связь"" to be consistent with label_relation_delete: ""Удалить связь""

I've prepared a new ru.yml file based on current trunk (r16420) (unfortunately i'm not familiar with patches) - please find it in the attachments.

This file also contains ru translation for new labels which were not translated yet except one: ""error_cannot_reassign_time_entries_to_an_issue_about_to_be_deleted"":
* If one tell me when redmine shows this label i'll find an accurate translation for this.


It would be great to add this feature to version:3.4.0"
25397,Redmine,Patch,NA,Closed,Normal,Russian translation update (r16388),Go MAEDA,NA,2017-04-05T19:12:00Z,Translations,NA,NA,NA,NA,0,2017-03-22T06:32:00Z,2017-04-05T19:12:00Z,関連している #25392,NA,NA,"From #25392, translated by  Ilya Potapov.

*  error_no_projects_with_tracker_allowed_for_new_issue
*  field_textarea_font
*  label_font_default
*  label_font_monospace
*  label_font_proportional
*  label_table_of_contents
*  setting_commit_logs_formatting
*  setting_mail_handler_enable_regex_delimiters
*  error_move_of_child_not_possible
*  setting_timelog_required_fields
*  label_attribute_of_object
*  label_user_mail_option_only_assigned
*  label_user_mail_option_only_owner
*  warning_fields_cleared_on_bulk_edit
*  field_updated_by
*  field_last_updated_by
*  field_full_width_layout
*  label_last_notes"
25402,Redmine,Patch,NA,Closed,Normal,stop misusing distance_in_words,Greg T,NA,2017-04-21T14:02:00Z,Translations,NA,NA,NA,NA,0,2017-03-22T13:26:00Z,2017-04-21T13:40:00Z,関連している #25130,NA,NA,When _x_hours_ and _x_days_ are *not* used for a reference to a past point in time relative to the present moment then datetime.distance_in_words must not be used as it's impossible to fix the Hungarian/Magyar language files that way.
25458,Redmine,Patch,NA,Closed,Normal,Portuguese translation for 3.2-stable,Toshi MARUYAMA,NA,2017-03-29T08:36:00Z,Translations,3.2.6,NA,NA,NA,0,2017-03-29T06:40:00Z,2017-03-29T08:36:00Z,NA,NA,NA,"From #25204

<pre><code class=""diff"">
=== (+9,-10) config/locales/pt.yml ===
@@ -1168,13 +1168,13 @@
   label_assigned_issues: Assigned issues
   label_field_format_enumeration: Key/value list
   label_f_hour_short: '%{value} h'
-  field_default_version: Default version
-  error_attachment_extension_not_allowed: Attachment extension %{extension} is not allowed
-  setting_attachment_extensions_allowed: Allowed extensions
-  setting_attachment_extensions_denied: Disallowed extensions
-  label_any_open_issues: any open issues
-  label_no_open_issues: no open issues
-  label_default_values_for_new_users: Default values for new users
+  field_default_version: Vers?o por defeito
+  error_attachment_extension_not_allowed: A extens?o %{extension} do ficheiro anexado n?o ? permitida
+  setting_attachment_extensions_allowed: Extens?es permitidas
+  setting_attachment_extensions_denied: Extens?es n?o permitidas
+  label_any_open_issues: Quaisquer tarefas abertas
+  label_no_open_issues: Sem tarefas abertas
+  label_default_values_for_new_users: Valores por defeito para novo utilizadores
   setting_sys_api_key: Chave da API
   setting_lost_password: Perdi a palavra-chave
   mail_subject_security_notification: Security notification
@@ -1211,8 +1211,7 @@
   setting_mail_handler_enable_regex_delimiters: Enable regular expressions
   error_move_of_child_not_possible: 'Subtask %{child} could not be moved to the new
     project: %{errors}'
-  error_cannot_reassign_time_entries_to_an_issue_about_to_be_deleted: Spent time cannot
-    be reassigned to an issue that is about to be deleted
+  error_cannot_reassign_time_entries_to_an_issue_about_to_be_deleted: O tempo gasto n?o pode ser alterado numa tarefa que ser? apagada
   setting_timelog_required_fields: Required fields for time logs
   label_attribute_of_object: '%{object_name}''s %{name}'
   label_user_mail_option_only_assigned: Only for things I watch or I am assigned to
</code></pre>"
25459,Redmine,Patch,NA,Closed,Normal,Portuguese translation for 3.3-stable,Toshi MARUYAMA,NA,2017-03-29T08:34:00Z,Translations,3.3.3,NA,NA,NA,0,2017-03-29T06:42:00Z,2017-03-29T08:34:00Z,NA,NA,NA,"From #25204

<pre><code class=""diff"">
=== (+21,-25) config/locales/pt.yml ===
@@ -1177,30 +1177,26 @@
   label_default_values_for_new_users: Valores por defeito para novo utilizadores
   setting_sys_api_key: Chave da API
   setting_lost_password: Perdi a palavra-chave
-  mail_subject_security_notification: Security notification
-  mail_body_security_notification_change: ! '%{field} was changed.'
-  mail_body_security_notification_change_to: ! '%{field} was changed to %{value}.'
-  mail_body_security_notification_add: ! '%{field} %{value} was added.'
-  mail_body_security_notification_remove: ! '%{field} %{value} was removed.'
-  mail_body_security_notification_notify_enabled: Email address %{value} now receives
-    notifications.
-  mail_body_security_notification_notify_disabled: Email address %{value} no longer
-    receives notifications.
-  mail_body_settings_updated: ! 'The following settings were changed:'
-  field_remote_ip: IP address
-  label_wiki_page_new: New wiki page
-  label_relations: Relations
-  button_filter: Filter
-  mail_body_password_updated: Your password has been changed.
-  label_no_preview: No preview available
-  error_no_tracker_allowed_for_new_issue_in_project: The project doesn't have any trackers
-    for which you can create an issue
-  label_tracker_all: All trackers
-  label_new_project_issue_tab_enabled: Display the ""New issue"" tab
-  setting_new_item_menu_tab: Project menu tab for creating new objects
-  label_new_object_tab_enabled: Display the ""+"" drop-down
-  error_no_projects_with_tracker_allowed_for_new_issue: There are no projects with trackers
-    for which you can create an issue
+  mail_subject_security_notification: Notifica??o de seguran?a
+  mail_body_security_notification_change: ! '%{field} foi modificado.'
+  mail_body_security_notification_change_to: ! '%{field} foi modificado para %{value}.'
+  mail_body_security_notification_add: ! '%{field} %{value} foi adicionado.'
+  mail_body_security_notification_remove: ! '%{field} %{value} foi removido.'
+  mail_body_security_notification_notify_enabled: O email %{value} agora recebe notifica??es.
+  mail_body_security_notification_notify_disabled: O email %{value} j? n?o recebe notifica??es.
+  mail_body_settings_updated: ! 'As seguintes configura??es foram modificadas:'
+  field_remote_ip: Endere?o IP
+  label_wiki_page_new: Nova p?gina wiki
+  label_relations: Rela??es
+  button_filter: Filtro
+  mail_body_password_updated: A sua palavra-chave foi atualizada.
+  label_no_preview: Sem pr?-visualiza??o dispon?vel
+  error_no_tracker_allowed_for_new_issue_in_project: O projeto n?o possui nenhum tipo de tarefa para o qual voc? pode criar uma tarefa
+  label_tracker_all: Todos os tipos de tarefa
+  label_new_project_issue_tab_enabled: Apresentar a aba ""Nova tarefa""
+  setting_new_item_menu_tab: Aba de Projeto para criar novos objetos
+  label_new_object_tab_enabled: Apresentar a aba ""+""
+  error_no_projects_with_tracker_allowed_for_new_issue: N?o h? projetos com tipos de tarefa para os quais voc? pode criar uma tarefa
   field_textarea_font: Font used for text areas
   label_font_default: Default font
   label_font_monospace: Monospaced font
</code></pre>"
25483,Redmine,Patch,NA,Closed,Normal,Forbid to edit/update/delete the anonymous user,Holger Just,Jean-Philippe Lang,2017-04-03T17:44:00Z,Accounts / authentication,3.4.0,NA,NA,NA,0,2017-03-30T15:20:00Z,2017-04-03T15:06:00Z,NA,NA,NA,"Right now, an admin can (in principal) edit and even delete the Anonymous user via the UserController since it doesn't restrict its query to logged users. This should not be possible and doesn't seem to be intended from the surrounding code:

* When showing the edit form for the anonymous user, a template error occurs in @app/views/users/_general.html.erb@.
* When deleting the anonynmous user, all its objects will be assigned to itself and the user gets deleted. While it will be automatically recreated on next access, all its issues, journals, ... will have dangling @user_ids@ pointing to the old anonymous user.

The attached patch restricts edit/update/delete of users to logged users. Displaying the user page of Anonymous is still supported. The Patch was extracted from ""Planio"":https://plan.io/redmine-hosting."
25491,Redmine,Patch,NA,Needs feedback,Normal,List of role members,David C?t?-Tremblay,NA,2017-06-02T09:46:00Z,UI,NA,NA,NA,NA,0,2017-03-31T23:12:00Z,NA,NA,NA,NA,"This simple patch provides a list of all members of a role grouped by projects.

Tested and working with Redmine 3.2 & 3.3"
25495,Redmine,Patch,NA,Closed,Low,spelling fixes,ka seven,NA,2017-04-02T13:03:00Z,Code cleanup/refactoring,NA,NA,NA,NA,0,2017-04-01T22:09:00Z,2017-04-02T05:36:00Z,NA,NA,NA,"patch contains some spelling fixes ( just in comments ) as found by a bot ( https://github.com/ka7/misspell_fixer ).
see also http://www.misfix.org
Also, any upcoming License changes (e.g. GPL2 to GPL3+) are hereby granted.

base for the diff was @adce697 on github.com"
