Id,要約,ステータス,解決状況,発生日,更新日,障害ランク,再現性,欠陥検出工程,発生トリガー,欠陥実装タイプ,欠陥混入時期,欠陥タイプ,デグレード,テスト番号
1,XXX,完了,実装済,2015/1/6,2015/3/17,A,時々・不定,f2.プレシステムテスト,f-i.5.負荷・ストレス,01.誤実装,02.改造・変更,02.値チェック,はい,XXX-XX-XX
2,XXX,完了,実装済,2015/1/6,2015/1/21,B,毎回,f2.プレシステムテスト,f-i.2.組合せ,01.誤実装,01.新規,01.値の代入・初期化,いいえ,XXX-XX-XX
3,XXX,完了,原因の重複,2015/1/9,2015/1/21,B,毎回,f2.プレシステムテスト,（わからない）,（障害ではない）,（障害ではない）,（障害ではない）,いいえ,XXX-XX-XX
4,XXX,完了,実装済,2015/1/11,2015/2/17,C,未調査,g1.システムテスト,（わからない）,01.誤実装,01.新規,01.値の代入・初期化,いいえ,XXX-XX-XX
5,XXX,完了,実装済,2015/1/11,2015/2/16,B,毎回,g1.システムテスト,f-i.4.複数機能の相互作用,01.誤実装,01.新規,03.アルゴリズム・メソッド,いいえ,テスト外
6,XXX,完了,実装済,2015/1/11,2015/1/27,C,毎回,f2.プレシステムテスト,f-i.4.複数機能の相互作用,01.誤実装,01.新規,03.アルゴリズム・メソッド,はい,テスト外
7,XXX,完了,実装済,2015/1/11,2015/1/25,B,毎回,f2.プレシステムテスト,f-i.5.負荷・ストレス,01.誤実装,01.新規,03.アルゴリズム・メソッド,いいえ,XXX-XX-XX
8,XXX,完了,実装済,2015/1/11,2015/1/25,B,毎回,f2.プレシステムテスト,f-i.5.負荷・ストレス,（わからない）,01.新規,（わからない）,いいえ,XXX-XX-XX
9,XXX,完了,実装済,2015/1/11,2015/1/25,B,毎回,f2.プレシステムテスト,f-i.5.負荷・ストレス,01.誤実装,01.新規,03.アルゴリズム・メソッド,いいえ,XXX-XX-XX
10,XXX,完了,実装済,2015/1/11,2015/1/22,B,毎回,f2.プレシステムテスト,f-i.3.操作順序依存,01.誤実装,01.新規,01.値の代入・初期化,いいえ,XXX-XX-XX
11,XXX,完了,実装済,2015/1/11,2015/1/22,B,毎回,f2.プレシステムテスト,f-i.4.複数機能の相互作用,01.誤実装,01.新規,02.値チェック,いいえ,テスト外
12,XXX,完了,実装済,2015/1/11,2015/1/21,B,毎回,f2.プレシステムテスト,（わからない）,01.誤実装,01.新規,03.アルゴリズム・メソッド,いいえ,XXX-XX-XX
13,XXX,完了,実装済,2015/1/11,2015/1/21,C,毎回,f2.プレシステムテスト,f-i.3.操作順序依存,01.誤実装,02.改造・変更,01.値の代入・初期化,はい,XXX-XX-XX
14,XXX,完了,実装済,2015/1/11,2015/1/21,C,毎回,f2.プレシステムテスト,f-i.4.複数機能の相互作用,01.誤実装,01.新規,02.値チェック,いいえ,テスト外
15,XXX,完了,実装済,2015/1/11,2015/1/21,B,未調査,f2.プレシステムテスト,f-i.2.組合せ,01.誤実装,01.新規,01.値の代入・初期化,いいえ,XXX-XX-XX
16,XXX,完了,原因の重複,2015/1/11,2015/1/21,B,毎回,f2.プレシステムテスト,f-i.2.組合せ,（障害ではない）,（障害ではない）,（障害ではない）,いいえ,XXX-XX-XX
17,XXX,完了,実装済,2015/1/11,2015/1/21,B,毎回,f2.プレシステムテスト,f-i.3.操作順序依存,01.誤実装,01.新規,02.値チェック,いいえ,テスト外
18,XXX,完了,原因の重複,2015/1/11,2015/1/21,B,毎回,f2.プレシステムテスト,f-i.4.複数機能の相互作用,（障害ではない）,（障害ではない）,（障害ではない）,いいえ,XXX-XX-XX
19,XXX,完了,実装済,2015/1/11,2015/1/21,B,未調査,f2.プレシステムテスト,f-i.3.操作順序依存,01.誤実装,02.改造・変更,01.値の代入・初期化,はい,XXX-XX-XX
20,XXX,完了,実装済,2015/1/11,2015/1/21,B,毎回,f2.プレシステムテスト,f-i.4.複数機能の相互作用,01.誤実装,01.新規,02.値チェック,いいえ,テスト外
21,XXX,完了,実装済,2015/1/12,2015/1/26,B,毎回,f2.プレシステムテスト,f-i.3.操作順序依存,02.未実装,01.新規,01.値の代入・初期化,いいえ,テスト外
22,XXX,完了,実装済,2015/1/12,2015/1/22,B,毎回,f2.プレシステムテスト,f-i.2.組合せ,01.誤実装,01.新規,01.値の代入・初期化,いいえ,XXX-XX-XX
23,XXX,完了,原因の重複,2015/1/12,2015/1/21,C,毎回,f2.プレシステムテスト,（障害ではない）,（障害ではない）,（障害ではない）,（障害ではない）,いいえ,XXX-XX-XX
24,XXX,完了,実装済,2015/1/13,2015/1/21,A,未調査,f2.プレシステムテスト,f-i.5.負荷・ストレス,01.誤実装,01.新規,03.アルゴリズム・メソッド,いいえ,XXX-XX-XX
25,XXX,完了,実装済,2015/1/15,2015/2/16,C,未調査,f2.プレシステムテスト,f-i.8.構成 ,（障害ではない）,（障害ではない）,（障害ではない）,いいえ,テスト外
26,XXX,完了,実装済,2015/1/15,2015/1/26,B,毎回,f2.プレシステムテスト,f-i.5.負荷・ストレス,01.誤実装,01.新規,01.値の代入・初期化,いいえ,テスト外
27,XXX,完了,実装済,2015/1/16,2015/1/26,B,時々・不定,f2.プレシステムテスト,f-i.2.組合せ,01.誤実装,01.新規,01.値の代入・初期化,（わからない）,XXX-XX-XX
28,XXX,完了,実装済,2015/1/16,2015/1/21,B,毎回,f2.プレシステムテスト,f-i.8.構成 ,01.誤実装,01.新規,01.値の代入・初期化,いいえ,テスト外
29,XXX,完了,実装済,2015/1/18,2015/3/17,B,毎回,f2.プレシステムテスト,f-i.4.複数機能の相互作用,01.誤実装,01.新規,02.値チェック,いいえ,XXX-XX-XX
30,XXX,完了,実装済,2015/1/18,2015/3/10,B,毎回,f2.プレシステムテスト,f-i.3.操作順序依存,01.誤実装,01.新規,02.値チェック,いいえ,XXX-XX-XX
31,XXX,完了,実装済,2015/1/18,2015/3/10,B,毎回,f2.プレシステムテスト,f-i.8.構成 ,01.誤実装,01.新規,01.値の代入・初期化,いいえ,XXX-XX-XX
32,XXX,完了,実装済,2015/1/19,2015/3/17,C,毎回,f2.プレシステムテスト,f-i.1.基本,（障害ではない）,（障害ではない）,（障害ではない）,いいえ,XXX-XX-XX
33,XXX,完了,実装済,2015/1/19,2015/3/17,B,毎回,f2.プレシステムテスト,f-i.1.基本,（障害ではない）,（障害ではない）,（障害ではない）,いいえ,XXX-XX-XX
34,XXX,完了,原因の重複,2015/1/19,2015/3/17,A,時々・不定,f2.プレシステムテスト,f-i.5.負荷・ストレス,（障害ではない）,（障害ではない）,（障害ではない）,いいえ,テスト外
35,XXX,完了,実装済,2015/1/19,2015/3/17,B,毎回,f2.プレシステムテスト,f-i.2.組合せ,01.誤実装,01.新規,01.値の代入・初期化,いいえ,テスト外
36,XXX,完了,実装済,2015/1/19,2015/3/10,B,毎回,f2.プレシステムテスト,f-i.3.操作順序依存,01.誤実装,01.新規,01.値の代入・初期化,いいえ,テスト外
37,XXX,完了,実装済,2015/1/19,2015/2/16,C,毎回,f2.プレシステムテスト,f-i.1.基本,（障害ではない）,（障害ではない）,（障害ではない）,いいえ,XXX-XX-XX
38,XXX,完了,実装済,2015/1/19,2015/2/16,B,毎回,f2.プレシステムテスト,f-i.2.組合せ,（障害ではない）,（障害ではない）,（障害ではない）,いいえ,XXX-XX-XX
39,XXX,完了,実装済,2015/1/20,2015/3/10,C,毎回,f2.プレシステムテスト,f-i.4.複数機能の相互作用,01.誤実装,03.既存,03.アルゴリズム・メソッド,いいえ,XXX-XX-XX
40,XXX,完了,実装済,2015/1/20,2015/3/10,B,毎回,f2.プレシステムテスト,f-i.4.複数機能の相互作用,01.誤実装,01.新規,03.アルゴリズム・メソッド,いいえ,XXX-XX-XX
41,XXX,完了,実装済,2015/1/20,2015/3/10,B,毎回,f2.プレシステムテスト,f-i.2.組合せ,01.誤実装,01.新規,01.値の代入・初期化,いいえ,XXX-XX-XX
42,XXX,完了,実装済,2015/1/21,2015/3/12,B,毎回,f2.プレシステムテスト,f-i.1.基本,01.誤実装,01.新規,03.アルゴリズム・メソッド,いいえ,テスト外
43,XXX,完了,実装済,2015/1/21,2015/3/10,C,毎回,f2.プレシステムテスト,f-i.3.操作順序依存,01.誤実装,01.新規,03.アルゴリズム・メソッド,いいえ,テスト外
44,XXX,完了,実装済,2015/1/21,2015/3/10,B,毎回,f2.プレシステムテスト,f-i.8.構成 ,01.誤実装,01.新規,03.アルゴリズム・メソッド,いいえ,XXX-XX-XX
45,XXX,完了,原因の重複,2015/1/22,2015/3/12,B,毎回,f2.プレシステムテスト,f-i.4.複数機能の相互作用,01.誤実装,02.改造・変更,01.値の代入・初期化,はい,XXX-XX-XX
46,XXX,完了,実装済,2015/1/22,2015/3/10,B,時々・不定,f2.プレシステムテスト,f-i.8.構成 ,（わからない）,（わからない）,（わからない）,いいえ,XXX-XX-XX
47,XXX,完了,実装済,2015/1/22,2015/3/10,B,再現待ち,f2.プレシステムテスト,（わからない）,01.誤実装,01.新規,01.値の代入・初期化,いいえ,テスト外
48,XXX,完了,実装済,2015/1/22,2015/3/10,B,毎回,f2.プレシステムテスト,f-i.3.操作順序依存,01.誤実装,01.新規,01.値の代入・初期化,いいえ,XXX-XX-XX
49,XXX,完了,原因の重複,2015/1/23,2015/3/10,B,毎回,f2.プレシステムテスト,f-i.4.複数機能の相互作用,01.誤実装,01.新規,02.値チェック,はい,XXX-XX-XX
50,XXX,完了,実装済,2015/1/23,2015/3/10,B,毎回,f2.プレシステムテスト,f-i.3.操作順序依存,01.誤実装,01.新規,03.アルゴリズム・メソッド,いいえ,XXX-XX-XX
